351-50-9712|Rosabelle|Crooks|F|9/22/1962|0|029 Kuphal Springs|NULL|NULL|NULL|NULL|NULL|NULL|NULL|United Kingdom|11.7434050257|True|Industrial conglomerate|4.3|investment|investment_management|NULL|NULL|NULL|NULL|0.29|-1.63|1.87|0|0|0|0|0|1|0|0|0|NULL|NULL|NULL|351-50-9712_investment
351-50-9712|Rosabelle|Crooks|F|9/22/1962|0|029 Kuphal Springs|NULL|NULL|NULL|NULL|NULL|NULL|NULL|United Kingdom|11.7434050257|True|Industrial conglomerate|4.3|investment|brokerage|NULL|NULL|NULL|NULL|0.60|2.87|-2.86|0|0|0|0|0|0|0|0|0|NULL|NULL|NULL|351-50-9712_investment
351-50-9712|Rosabelle|Crooks|F|9/22/1962|0|029 Kuphal Springs|NULL|NULL|NULL|NULL|NULL|NULL|NULL|United Kingdom|11.7434050257|True|Industrial conglomerate|4.3|deposit_account|deposit_account|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|3.41|-3.64|1|351-50-9712_deposit_account
754-17-3621|Tosha|Reinger|F|4/18/1952|1|288 Mauro Alley Apt. 716|Madison|CT|06443|41.309|-72.6153|18269|396700|United States|103.6|True|Healthcare|31.6|credit|custom_financing|30|3.72|8/27/2025|0.05|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|754-17-3621_credit
754-17-3621|Tosha|Reinger|F|4/18/1952|1|288 Mauro Alley Apt. 716|Madison|CT|06443|41.309|-72.6153|18269|396700|United States|103.6|True|Healthcare|31.6|investment|custody|NULL|NULL|NULL|NULL|4.16|0.22|-2.52|1|0|0|1|0|1|0|0|0|NULL|NULL|NULL|754-17-3621_investment
754-17-3621|Tosha|Reinger|F|4/18/1952|1|288 Mauro Alley Apt. 716|Madison|CT|06443|41.309|-72.6153|18269|396700|United States|103.6|True|Healthcare|31.6|credit|home_financing|30|4.13|9/13/2020|0.05|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|754-17-3621_credit
373-20-8722|Atha|Mosciski|M|11/5/1950|4|97904 Stehr Burgs Apt. 256|Vernon|NY|13476|43.0945|-75.5627|3032|116900|United States|9.70284991142|True|Construction/Engineering|1.1|credit|custom_financing|30|3.66|5/3/2027|0.02|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|373-20-8722_credit
373-20-8722|Atha|Mosciski|M|11/5/1950|4|97904 Stehr Burgs Apt. 256|Vernon|NY|13476|43.0945|-75.5627|3032|116900|United States|9.70284991142|True|Construction/Engineering|1.1|deposit_account|deposit_account|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1.1|-14.14|1|373-20-8722_deposit_account
878-53-5298|Mikal|Sanford|M|3/22/1965|2|770 Allen Gateway|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Cyprus|8.71641550713|False|Textiles	 apparel	 luxury|3.2|deposit_account|deposit_account|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|3.2|3.05|1|878-53-5298_deposit_account
816-58-8421|Ballard|Schaden|M|1/22/1955|2|7683 Joy Grove Apt. 349|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Colombia|498.8|True|Healthcare|224.4|credit|custom_financing|30|3.51|7/2/2043|0.03|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|816-58-8421_credit
